station,phase,time
das1900,S,1715055472.112001
das1900,S,1715055573.202
das1900,S,1715055732.872
das2500,S,1715055813.782
das700,S,1715055861.7619991
das2300,S,1715055921.112
das1300,S,1715056038.202
das1900,S,1715056220.542
das2100,S,1715056220.822
das2100,S,1715056413.611999
das900,S,1715056461.0419998
das500,S,1715056604.1420002
das1700,S,1715056704.812
das2100,S,1715056702.6720011
das1900,S,1715056902.772001
das2500,S,1715056871.962
das1900,S,1715057067.7420008
das2100,S,1715057128.4620001
das1500,S,1715057257.572
das2100,S,1715057280.052
das1500,S,1715057620.542002
das1700,S,1715057602.732
das2700,S,1715057620.772001
das1100,S,1715057973.4419992
das2700,S,1715058021.062
das1700,S,1715058145.972
das2100,S,1715058194.162
das900,S,1715058294.792002
das2100,S,1715058276.431999
das1700,S,1715058456.202
das2500,S,1715058574.6819992
das2900,S,1715058937.3219998
das1700,S,1715059002.662001
das1900,S,1715059003.052
das700,S,1715059041.0019999
das2500,S,1715059036.392
das1700,S,1715059225.092001
das1900,S,1715059572.502
das1500,S,1715059691.712
das1900,S,1715059797.4819999
das2300,S,1715059781.5220008
das700,S,1715059842.872
das1900,S,1715059818.072
das500,S,1715059894.832001
das2500,S,1715060238.302
das2900,S,1715060233.402
das1700,S,1715060518.552
das300,S,1715060573.311998
das1900,S,1715060719.1420002
das2300,S,1715060719.7020001
das2900,S,1715060941.232
das900,S,1715061148.122
das1900,S,1715061172.471998
das1500,S,1715061329.052
